CITY 1,CITY 2,PASSENGERS TO CITY 2,CITY 1 ID,CITY 2 ID,lat1,long1,lat2,long2
BENGALURU,KOCHI,835837,14,70,12.9716,77.5946,9.9312,76.2673
BENGALURU,KOLHAPUR,23497,14,71,12.9716,77.5946,16.705,74.2433
BENGALURU,KOLKATA,932567,14,72,12.9716,77.5946,22.5726,88.3639
BENGALURU,KOZHIKODE,63302,14,73,12.9716,77.5946,11.2588,75.7804
BENGALURU,KURNOOL,4742,14,75,12.9716,77.5946,15.8281,78.0373
BENGALURU,LUCKNOW,425594,14,79,12.9716,77.5946,26.8467,80.9462
BENGALURU,MADURAI,80342,14,81,12.9716,77.5946,9.9252,78.1198
BENGALURU,MANGALORE,259022,14,83,12.9716,77.5946,12.9141,74.856
BENGALURU,MUMBAI,2192203,14,85,12.9716,77.5946,19.076,72.8777
BENGALURU,NAGPUR,186697,14,87,12.9716,77.5946,21.1458,79.0882
BENGALURU,NASIK,306,14,88,12.9716,77.5946,19.9975,73.7898
BENGALURU,PATNA,221893,14,92,12.9716,77.5946,25.5941,85.1376
BENGALURU,PONDICHERRY,9778,14,93,12.9716,77.5946,11.9416,79.8083
BENGALURU,PORT BLAIR,55845,14,94,12.9716,77.5946,11.6234,92.7265
BENGALURU,PUNE,895318,14,95,12.9716,77.5946,18.5204,73.8567
BENGALURU,RAIPUR,122795,14,96,12.9716,77.5946,21.2514,81.6296
BENGALURU,RAJAHMUNDRY,46803,14,97,12.9716,77.5946,17.6868,83.2185
BENGALURU,RAJKOT,32570,14,98,12.9716,77.5946,22.3039,70.8022
BENGALURU,RAJKOT INTERNATIONAL AIRPORT,10086,14,99,12.9716,77.5946,22.3039,70.8022
BENGALURU,RANCHI,237876,14,100,12.9716,77.5946,23.3441,85.3096
BENGALURU,SALEM,1909,14,103,12.9716,77.5946,11.6643,78.146
BENGALURU,SHIRDI,75152,14,105,12.9716,77.5946,19.7515,74.4773
BENGALURU,SHIVAMOGGA AIRPORT,3034,14,106,12.9716,77.5946,13.3986,74.7421
BENGALURU,SILCHAR,4310,14,107,12.9716,77.5946,24.8278,92.797
BENGALURU,SRINAGAR,24022,14,110,12.9716,77.5946,34.0837,74.7973
BENGALURU,SURAT,115467,14,111,12.9716,77.5946,21.1702,72.8311
BENGALURU,TIRUCHIRAPALLY,62680,14,114,12.9716,77.5946,10.7905,78.7047
BENGALURU,TIRUPATI,21710,14,115,12.9716,77.5946,13.6288,79.4192
BENGALURU,TRIVANDRUM,250216,14,116,12.9716,77.5946,8.5241,76.9366
BENGALURU,TUTICORIN,23039,14,117,12.9716,77.5946,8.7642,78.1348
BENGALURU,UDAIPUR,67710,14,118,12.9716,77.5946,24.5854,73.7125
BENGALURU,VADODARA,66940,14,121,12.9716,77.5946,22.3072,73.1812
BENGALURU,VARANASI,221223,14,122,12.9716,77.5946,25.3176,82.9739
BENGALURU,VIDYANAGAR,15852,14,123,12.9716,77.5946,15.389,75.091
BENGALURU,VIJAYAWADA,121196,14,124,12.9716,77.5946,16.5062,80.648
BENGALURU,VISAKHAPATNAM,326898,14,125,12.9716,77.5946,17.6868,83.2185
BHATINDA,DELHI,1170,15,32,30.1709,74.9153,28.6139,77.209
BHATINDA,GHAZIABAD,324,15,40,30.1709,74.9153,28.6692,77.4538
BHAVNAGAR,MUMBAI,20394,16,85,21.7645,72.1519,19.076,72.8777
BHAVNAGAR,PUNE,18572,16,95,21.7645,72.1519,18.5204,73.8567
BHOPAL,DELHI,292273,17,32,23.2599,77.4126,28.6139,77.209
